title,type,material,color,size,dimensions,weight,region,packer_name,price,description,food_preference,no_onion_garlic,shelf_life_days,flavour_variant,subtype,speciality_or_feature,packaging_material,no_of_pieces,skin_type,application_area,key_ingredients,purpose
"
   			Sun Grow ORGANIC All in ONE Mixed Veg. Pickle We Serve Natural You Eat Natural No Artificial Colors & Flavors Pickle 1000 g",Vegetable Pickle,,,,,,India,SunGrowFood,401.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your diet.No Added Artificial Flavors or ColorSun Grow Food is known for offering organic, healthy food products which are distinguished by their quality, packing and low pricing.Best organic & homemade ProductIt can be served with all Indian meals, add to daals and curries and use it to spice up your green chutney! Enjoy the original taste of India.",Vegetarian,No,180.0,ORGANIC All in ONE Mixed Veg. Pickle We Serve Natural You Eat Natural No Artificial Colors & Flavors,,,,,,,,
"
   			Farm Star Karonda- Bengal Currant Fruit Pickle 400 g",Fruit Pickle,,,,,,Delhi,"FARM STAR PRODUCTS, NAJAFGARH, NEW DELHI - 110043",235.0,"
							100% Homemade in a very hygienic conditions, Farm Star Sour & Sweet Bengal Currant Pickle adds taste and delight into all your meals. It is traditionally relished for its tangy flavour and enjoyed with Puri, Paratha, Cheela, Dal Rice, Roti and with any other dishes. It makes food tasty and delicious, improves immunity, digestion, and intake of antioxidants.",Vegetarian,No,730.0,Karonda- Bengal Currant,,,,,,,,
"
   			Austere store Amla murabba in slice Murabba 800 g",Murabba,,,,,,Delhi,"NO.37/7, G/F, VILLAGE RANHOLA NANGLOIPOLE NO.-MDK-E208, NEAR SATSANG BHAWAN, NEW DELHI-110041 West Delhi 110041",244.0,"
							very tasty product",Vegetarian,No,200.0,Amla murabba in slice,,,,,,,,
"
   			Farm Star ( Homemade) Murabba 500 g",Murabba,,,,,,Delhi,"FARM STAR PRODUCTS, 20, NEAR POLE NO-40 LODIA MOHALLA, SHIKARPUR, SOUTH WEST DELHI, DELHI, 110043",222.0,"
							Homemade in very hygienic conditions, Farm Star Harar Murabba is traditionally made with harar. Harar Murabba is useful in the management of chronic and obstinate constipation, indigestion, haemorrhoids and gastrointestinal problems. It works as a restorative tonic to the bowls. It boosts the function of digestive tract, supports a healthy intestinal environment and increases the absorption of nutrients from the food we eat. Rich source of antioxidants, Farm Star Harar Murabba is useful in keeping away stomach gas and guards against gastric ulcers.",Vegetarian,No,365.0,( Homemade),,,,,,,,
"
   			Austere store Gajar Gobhi Salagam Vegetable Pickle 0.8 g",Vegetable Pickle,,,,,,India,13320007000551,235.0,"
							very taste product",Vegetarian,No,,Gajar Gobhi Salagam,,,,,,,,
"
   			Farm Star (Khatta Nimbu ka Achar) Vegetable Pickle 500 g",Vegetable Pickle,,,,,,Delhi,"FARM STAR PRODUCTS, 20, NEAR POLE NO-40 LODIA MOHALLA, SHIKARPUR, SOUTH WEST DELHI, DELHI, 110043",221.0,"
							Handmade in a very hygienic conditions, Farm Star Sour Lemon Pickle adds taste and delight into all your meals, enjoy with Puri, Paratha, Cheela, Dal Rice, Roti and with any other dishes.  It makes food tasty and delicious, improves digestion and intake antioxidants. •	Made with finest Lemons•	100% Homemade with authentic taste•	Used finest grade spices•	Boosts digestion & improves immunity•	Increase intake of antioxidants•	Tasty & Delicious- Made in traditional ways•	Made & packed very hygienically •	No Artificial Color, No Added Flavor",Vegetarian,No,,(Khatta Nimbu ka Achar),,,,,,,,
"
   			Natural Diet Amla Murabba Gooseberry Premium Murabba Jar ||Ghar Ka Murabba ||Mouth-Watering Mother Made Love Pickle 1 kg",Murabba,,,,,,India,Sun Grow Sonipat,397.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your dietNatural Diet is known for offering organic, healthy food products which are distinguished by their quality, packing and low pricingHygienically processed from best quality fruits and vegetableThis traditional style pickle is spicy and tasty which compliment to any meal100% Vegeterian, Quality Product, No Added Artificial Flavors or Color",Vegetarian,No,180.0,Amla Murabba Gooseberry Premium Murabba Jar ||Ghar Ka Murabba ||Mouth-Watering Mother Made Love,,,,,,,,
"
   			SAi Food HERBAL Marwari Rajasthani Athana Green Chilli Pickle| Without Oil| Fresh Achar Pickle 250 g",Vegetable Pickle,,,,,,India,SAi Food,165.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your diet.No Added Artificial Flavors or ColorSAi Food is known for offering organic, healthy food products which are distinguished by their quality, packing, and low pricing.Best organic & homemade Products",Vegetarian,No,180.0,HERBAL Marwari Rajasthani Athana Green Chilli Pickle| Without Oil| Fresh Achar,,,,,,,,
"
   			Agri Club Lemon Pickle 750gm",Fruit Pickle,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",287.0,"
							Rich source of natural nutrients. Whether you're on the field or in the stands, our product is a great addition to your diet Healthy and smart snack choice No added artificial flavors or color Best organic and homemade product",Vegetarian,Yes,365.0,Lemon(Nimbu),,,,,,,,
"
   			Masala Potli Homemade Chopped Gujrati Lal Mirch Ka Achar & Spoon | Red Chilly Pickle Achaar Pickle 500 g",Vegetable Pickle,,,,,,India,Masala Potli INC,248.0,"
							Homemade Chopped Gujrati Lal Mirch Ka Achar & Spoon | Red Chilly Pickle Achaar",Vegetarian,No,365.0,Homemade Chopped Gujrati Lal Mirch Ka Achar & Spoon | Red Chilly Pickle Achaar,,,,,,,,
"
   			gangawat lemon Fruit Pickle 800 g",Fruit Pickle,,,,,,Delhi,"76-B, 37/8, 14/15/2, 17, 18/1, Ranholla Vihar, Nangloi, Delhi - 110041, West (Delhi) - 110041",228.0,"
							very taste pickle. lemon, salt",Vegetarian,Yes,200.0,lemon,,,,,,,,
"
   			Kitchen King Best Quality Premium Delicious MotherMade Homemade Organic Fresh Khatta Lemon Pickle Nimbu Ka Achar Pickle 500 g",Vegetable Pickle,,,,,,India,Kitchen King,261.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your diet.No Added Artificial Flavors or ColorKitchen King is known for offering organic, healthy food products which are distinguished by their quality, packing, and low pricing.Best organic & homemade Products.",Vegetarian,No,180.0,Best Quality Premium Delicious MotherMade Homemade Organic Fresh Khatta Lemon Pickle Nimbu Ka Achar,,,,,,,,
"
   			Austere GAJAR Vegetable Pickle 800 g",Vegetable Pickle,,,,,,Delhi,"NO.37/7, G/F, VILLAGE RANHOLA NANGLOIPOLE NO.-MDK-E208, NEAR SATSANG BHAWAN, NEW DELHI-110041 West Delhi 110041",243.0,"
							GOOD IN TASTE VERY GOOD PRODUCT",Vegetarian,Yes,300.0,GAJAR,,,,,,,,
"
   			Masala Potli Homemade Punjabi Mixed Pickle & Spoon | Mustard Oil Used | Pachranga Mixed Achaar Pickle 500 g",Vegetable Pickle,,,,,,India,Masala Potli INC,240.0,"
							Homemade Punjabi Mixed Pickle & Spoon | Pachranga Mixed Achaar",Vegetarian,No,365.0,Homemade Punjabi Mixed Pickle & Spoon | Mustard Oil Used | Pachranga Mixed Achaar,,,,,,,,
"
   			Natural Diet Premium Carrot Pickle Gajjar ka Achar Pickle Jar ||Ghar Ka Achar ||Mouth-Watering Pickle 500 g",Vegetable Pickle,,,,,,India,Sun Grow Sonipat,240.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your dietNatural Diet is known for offering organic, healthy food products which are distinguished by their quality, packing and low pricingHygienically processed from best quality fruits and vegetableThis traditional style pickle is spicy and tasty which compliment to any meal100% Vegeterian, Quality Product, No Added Artificial Flavors or Color",Vegetarian,No,180.0,Premium Carrot Pickle Gajjar ka Achar Pickle Jar ||Ghar Ka Achar ||Mouth-Watering,,,,,,,,
"
   			Farm Star Ginger- Adrak Vegetable Pickle 400 g",Vegetable Pickle,,,,,,Delhi,"FARM STAR PRODUCTS, NAJAFGARH, NEW DELHI- 110043",235.0,"
							100% Handmade in a very hygienic conditions, Farm Star Ginger Pickle is traditionally made with finest grade of spices. It adds taste and delight into all your meals, enjoy with Puri, Paratha, Cheela, dal rice, roti and with any other dishes. Also known as Allam Pachadi. It is wonderful side dish for all breakfast like idli's, dosa's, Pongal, curd rice. It makes food tasty and delicious, improves immunity, digestion, and intake of antioxidants. Ginger is recommended for its soothing effect on the stomach and it is also a great remedy for nausea and motion sickness.",Vegetarian,No,730.0,Ginger- Adrak,,,,,,,,
"
   			Sun Grow Gooseberry Home Made Organic Ghar Ka Bana Natural Dry Amla Murabba with Almond (Badam) Pickle 500 g",Murabba,,,,,,India,SunGrow Sonipat,244.0,"
							We at Sun Grow brings you the best in taste pickles/achaar. Add spiciness into your boring meal with a tantalizing taste of these pickles or murabba. With this, you can enjoy a blend of various fresh vegetables packed in one bottle, thus it has something to delight every palate. It’s extremely tempting flavor is the outcome of fresh vegetables mixed with finest oils and aromatic spices. So, add life to your meal time with this pickle. Our products range from the traditional to the contemporary.",Vegetarian,No,180.0,Gooseberry Home Made Organic Ghar Ka Bana Natural Dry Amla Murabba with Almond (Badam),,,,,,,,
"
   			Natural Diet Royal Mango Pickle Aam ka achar (Without Seed) ||Traditional Punjabi Flavor, Tasty & Spicy Pickle 500 g",Vegetable Pickle,,,,,,India,Sun Grow Sonipat,265.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your dietNatural Diet is known for offering organic, healthy food products which are distinguished by their quality, packing and low pricingHygienically processed from best quality fruits and vegetableThis traditional style pickle is spicy and tasty which compliment to any meal100% Vegeterian, Quality Product, No Added Artificial Flavors or Color",Vegetarian,No,180.0,"Royal Mango Pickle Aam ka achar (Without Seed) ||Traditional Punjabi Flavor, Tasty & Spicy",,,,,,,,
"
   			Kitchen King BAEL Murabba with Almond | 100% Fresh BAL with Almond Taste & Pure Natural Healthy Ingredients Pickle 1 kg",Murabba,,,,,,India,Kitchen King,431.0,"
							Rich Source Of Natural Nutrients. Whether you're on the field or in the stands, Our Product is a great addition to your diet.No Added Artificial Flavors or ColorKitchen King is known for offering organic, healthy food products which are distinguished by their quality, packing, and low pricing.Best organic & homemade Products.",Vegetarian,No,180.0,BAEL Murabba with Almond | 100% Fresh BAL with Almond Taste & Pure Natural Healthy Ingredients,,,,,,,,
