title,type,material,color,size,dimensions,weight,region,packer_name,price,description,food_preference,no_onion_garlic,shelf_life_days,flavour_variant,speciality_or_feature
"
   			Masala Potli Egg Seasoning Sprinkles Masala for Boiled Egg, Scrambled Egg, Omlet Powder 70 gm",Powdered_spices,,,,,,India,Masala Potli INC,133.0,"
							Used in Boiled Egg, Omelet, Egg Salads, Sunny-Side-Up, Scrambled Egg, Half Omelet, Bhurji, Egg CurryMasala Potli Egg masala is made up of a blend of spices like Salt, Black Pepper, Cumin, Jeeravan, Clove, Cinnamon, Cardamom, Coriander to give your morning a kick start.Perfectly suit for winters breakfast, Lunch and DinnerAROMATIC & NATURAL FLAVOR | PURE VEGETARIAN | NO ARTIFICIAL FLAVORS | NO ARTIFICIAL PRESERVATIVES | NO ARTIFICIAL COLOR | HIGH-QUALITY PRODUCT",Vegetarian,,,"Egg Seasoning Sprinkles Masala for Boiled Egg, Scrambled Egg, Omlet",
"
   			Biotic 100 gm Cinnamon Powder ( Pack of 1 )",Powdered_spices,,,,,,India,"Biotic Nature Products, Shet Gut No.30, Dal Mill Lane, Kelapur",118.0,"
							Biotic Nature Products is a leading Manufacturer, Supplier in India of Herbal product Cinnamon Powder / Dalchini Powder / Cinnamon Zeylanicum. The Quality And Efficacy is 100% Guaranteed.  Useful for improve digestive health, improve dental health, Heart health.",Vegetarian,,730,Cinnamon Powder / Dalchini,
"
   			rawmest Alfalfa Leaf Powder 300 gm Pack of 3",Powdered_spices,,,,,,India,4in1infotech,414.0,"
							Rawmest Alfalfa Leaf Powder high in chlorophyll. Alfalfa is one of natures sauces of nutrients. It is high in chlorophyll and is rich in calcium, magnesium, phosphorous, potassium, trace minerals, enzymes and all the known vitamins, including beta-carotene, K and U.",Vegetarian,,,Alfalfa Leaf,
"
   			UPPAL SONS JEERA POWDER Powder 400 gm",Powdered_spices,,,,,,India,UPPAL SONS,385.0,"
							JEERA POWDER",Vegetarian,,,JEERA POWDER,Natural
"
   			Nature's Gift SPINACH Powder 200 gm",Powdered_spices,,,,,,India,,183.0,"
							This powder has a rich green color and spinach flavor. Spinach powder is a good source of protein, vitamins a, c, and k, calcium, iron and other nutrients. It is full of nutrients, has no fat and very few calories. Spinach is rich in antioxidants, which works toward a healthier body. It is easy way to use, last longer, taste, look and smells same as leaves. Spinach are important for skin, hair. They also provide protein, iron, minerals, fiber and water, vitamin a, vitamin c, vitamin k calcium, magnesium, spinach is one of the best sources of dietary potassium. SPINACH POWDER uses - make delicious spinach flavored breads, gravies, pasta, sauces, rotis & idlis.",Vegetarian,,,SPINACH,
"
   			Natures Gift - 100 gm Cheddar Cheese Powder (Pack of 1)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",139.0,"
							100% Pure & Natural Premium QualityCheddar cheese powder makes a delicious and velvety smooth sauce for pasta, casseroles, or vegetables.It can also be sprinkled on popcorn, chips, pasta, baked potatoes, and other snacks for a cheesy kick!It can be added to pizza seasoning or any other seasoning to give extra cheesy kick.Add it on any meals for extra cheesy flavor.",Vegetarian,,,Cheddar Cheese Powder (Off White) - 3.5 Oz Spice Jar,GMO Free
"
   			AGRI CLUB TURMERIC POWDER/HALDI Powder 400 gm",Powdered_spices,,,,,,India,"SHRI HARI INDUSTRIES, F-103, BICHWAL IND. AREA, BIKANER",168.0,"
							Turmeric, hadli or curcuma has a broad range of health promoting botanical worldwide. Considered to be a natural antioxidant and has Immune support properties. This multi faceted wonder herb may help detoxify the liver, maintain healthy lipid level, stimulate digestion, boost immunity and enhance the complexion. Benefits: Exhibits antioxidant activity and supports the body’s natural response to oxidative stress. Has antibacterial psroperties. May boost immunity & maintain lipid levels. Has antiseptic properties. Helps enhance the complexion. Direction for use: Take 3 gms powder, 1 to 2 times a day or as advised by the physician",Vegetarian,,,TURMERIC POWDER/HALDI,Gluten Free
"
   			Tassyam Certified USDA 100% Organic Turmeric Powder 100 gm",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",163.0,"
							Add it to any dish to give a golden touch and at the same time make it healthier",Vegetarian,,,Certified USDA 100% Organic Turmeric,
"
   			Tassyam Hingwale Laxmi Raw Hing Crystals Powder 5 gm",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",260.0,"
							Ultra premium RAW Hing. From Tassyam. Hing is a strong spice  to the Indian cuisine and also extensively used in many a folk systems of medicines like Ayurveda. Hing or Asafoetida is extracted from several spice of Ferula, native to Afghanistan and it's neighbouring regions and then has to be carefully processed. Our Hing is prepared using secret recipes developed and perfected by Lala Ramdev Ji ""Hingwale"" in 1940. Using a blend of traditional methods and modern technologies, we create products so unique and impeccable that even we can't better them. These recipes have been handed over from generation to generation and require both hard-work and a colossal amount of passion to be perfectly effectuated. Presenting you our Laxmi Hing.",Vegetarian,,,Hingwale Laxmi Raw Hing Crystals,
"
   			Tassyam Certifed 100% Organic Turmeric Powder 400 gm",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",348.0,"
							Add it to any dish to give a golden touch and at the same time make it healthier.",Vegetarian,,,Certifed 100% Organic Turmeric,
"
   			AGRI CLUB Dalchini Powder, Cinnamon  Powder 200 gm",Powdered_spices,,,,,,India,,241.0,"
							Native to Sri Lanka, true cinnamon, Cinnamomum zeylanicum, dates back in Chinese writings to 2800 B.C. and is still known as “kwai” in the Cantonese language today. Its botanical name derives from the Hebraic and Arabic term “amomon”, meaning fragrant spice plant. Cinnamon is a highly delicious spice. It has been prized for its medicinal properties for thousands of years. It also boasts a wide range of other health benefits, including anti-inflammatory, antibacterial, antifungal and anti-diabetic properties. Cinnamon is packed with a variety of protective antioxidants that reduce free radical damage.",Vegetarian,,,"Dalchini Powder, Cinnamon",Gluten Free
"
   			UPPAL SONS - 250 gm Anardana Powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,142.0,"
							Great for adding flavour to Indian curries and chutneys. Add a tang to salads, breads and flavoured dips.",Vegetarian,,,ANARDANA POWDER,Natural
"
   			Nutrixia Food Dashmool Powder Dashmool   Dashamoola - Dasmool Powder 250 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,158.0,"
							Dashmool Powder -Dashmool - दशमूल -  Dashamoola - Dasmool - Dashmul-Dashamula",Vegetarian,,,Dashmool Powder Dashmool   Dashamoola - Dasmool,natural
"
   			AGRI CLUB Curry Leaf Powder 50 gm",Powdered_spices,,,,,,India,SHRI HARI INDUSTRIES BIKANER,93.0,No description available.,Vegetarian,,,Curry Leaf,Gluten Free
"
   			Nutrixia Akarkara Irani Roots Powder- Akarkara Asli- Pellitory Roots 25 gm",Powdered_spices,,,,,,India,Nutrixia Food,211.0,"
							Akarkara Irani Roots Powder- Akarkara Asli- Pellitory Roots - Pellety Roots",Vegetarian,,,Akarkara Irani Roots Powder- Akarkara Asli- Pellitory Roots,
"
   			Nature's Gift Spinach Powder 400 gm",Powdered_spices,,,,,,India,,297.0,"
							This powder has a rich green color and spinach flavor. Spinach powder is a good source of protein, calcium, iron and other nutrients. It is full of nutrients, has no fat and very few calories. Spinach is rich in antioxidants, which works toward a healthier body. It is easy way to use, last longer, taste, look and smells same as leaves. Spinach are important for skin, hair. They also provide protein, iron, minerals, fiber and water, vitamin c, vitamin k calcium, magnesium, spinach is one of the best sources of dietary potassium. SPINACH POWDER uses - make delicious spinach flavored breads, gravies, pasta, sauces, rotis & idlis.",Vegetarian,,,Spinach,
"
   			Nutrixia Food Ginger Powder -Sunth churna- Suntha  Powder 980 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,465.0,"
							Ginger Powder -Sunth churna- Suntha - Zingiber officinale",Vegetarian,,,Ginger Powder -Sunth churna- Suntha,Natural
"
   			Nature's Gift Cinnamon Powder - 3.5 Oz Spice Jar [Authentic Spice | Premium Quality | Pure & Natural] Powder 100 gm",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",152.0,"
							Premium Quality | Authentic Spice | Pure & NaturalIt has been prized for its medicinal properties for thousands of years. It also boasts a wide range of other health benefits.Cinnamon is used mainly as an aromatic condiment and flavouring additive.Use it in variety of cuisines, sweet and savoury dishes, breakfast cereals, snack foods, tea and traditional foods and many more.Comes in a Sprinkler Jar. Easy to use & handle.",Vegetarian,,,[Authentic Spice | Premium Quality | Pure & Natural],GMO Free
"
   			Nature's Gift Mint Leaves Powder - 7 Oz Spice Jar Powder 200 gm",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE,  BHAVNAGAR",183.0,"
							100% Pure & Natural Premium QualityMint is a popular herb that can be used fresh or dried in many dishes and infusions.It is used in tea, soups, and chutneysMint is commonly used to flavor dishes, sauces, dips, soups, and vegetable salads.Mint Leaves can be used in tea, as sprinkler on salads, chutney.",Vegetarian,,,Mint Leaves Powder - 7 Oz Spice Jar,GMO Free
"
   			Agri Club Pasta Seasoning 30 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",107.0,"
							Agri Club Pizza Pasta Masala Net Weight 100gm and Product Self Life 365 DaysThis classic combination of aromatic herbs like thyme, oregano and basil adds flavors of the Italian kitchen to your dishesGreat on Pizza, Pasta, Noodles, Marconi, chicken, salads and vegetables and Soup.Authentic taste of perfectly blended Italian style herbs and spices, and customized according to Indian taste.The pizza lover's favorite spicy Italian style seasoning blend, great on pizza, lasagne, shrimp scampy or any pasta or seafood dish",Vegetarian,,,Pasta Seasoning,
"
   			Nutrixia Amar Bel Powder-Natural Detox,Immunity Booster,Weight Loss| Organic | 50 gm",Powdered_spices,,,,,,India,Nutrixia Ayurveda,119.0,"
							Amar Bel Powder, also known as Akash Bel or Cuscuta Reflexa, is a 100% natural and powerful Ayurvedic herb known for its detoxifying and immunity-boosting and properties. Widely used in traditional herb, it supports liver health, improves digestion, and helps in managing blood sugar levels. Its anti-inflammatory and antioxidant properties make it beneficial for overall wellness. Trusted in Ayurveda, Amar Bel is also known for promoting healthy hair and skin, making it a versatile herb for holistic health.amar bel powder akash bel cuscuta reflexa natural detox ayurvedic remedy immunity booster liver health digestion support blood sugar management antioxidant herb anti inflammatory herbal supplement holistic wellness.",Vegetarian,,,"Amar Bel Powder-Natural Detox,Immunity Booster,Weight Loss| Organic |",
"
   			rawmest - 100 gm Dalchini powder (Pack of 2)",Powdered_spices,,,,,,India,4in1infotech,259.0,"
							Rawmest Dalchini Powder cinnamomum zeylanicum, cut the risk of heart disease, clear up urinary- tract infections, soothe an upset stomach. Rawmest dalchini powder is a powerful spice that has been used medicinally around the world for thousands of years. It is still used daily in many cultures because of the widespread cinnamon benefits, not to mention its distinctly sweet, warming tests and ease of use in recipes.",Vegetarian,,,Dalchini,No Preservatives
"
   			AGRICLUB Coconut Green Chutney Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",202.0,"
							It can be rightly described as an 'exclusive health foodIt will be served with idli, chappathi, rice etcMade from selective spicesCountry of Origin: India",Vegetarian,,,Coconut Green Chutney,
"
   			Mirza Sahab Hyderabadi Biryani Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab , B-5 Nizamuddin West New Delhi-110013",211.0,No description available.,Vegetarian,,,,
"
   			Natures Gift Green Chilli Powder - 3.5 Oz Spice Jar Powder 100 gm",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",121.0,"
							Pure & Natural Premium Quality Dehydrated Green Chilli PowderIt is widely used in dry soups mixes, stuffing mixes, fast foods, sauces, food preparations and vegetable mixes.Use it in sauces, curries, gravies and also used to make pickles, chutneys and green sauce.Can be mixed with other spices & herbs to make a dry rub. Add it to soups, stews, salads, pasta, pizza dough, burgers, etc.Store in a cool dry place away from sunlight. Do not use wet spoon to handle.",Vegetarian,,,Green Chilli Powder - 3.5 Oz Spice Jar,GMO Free
